Index,Height(Inches),Weight(Pounds)
1,65.78331,112.9925
2,71.51521,136.4873
4496,68.42894,122.0538
4497,64.0197,127.9519
4498,71.09565,117.1362
4499,69.87248,147.2908
4500,66.51831,125.4061
4501,68.57445,123.3187
4502,67.46212,139.4874
4503,69.61527,137.9174
4504,66.86386,119.266
4505,66.18998,115.9555
4506,69.7905,130.5095
4507,70.21174,131.2829
4508,71.14846,130.8226
4509,74.28376,147.7877
4510,64.48835,102.7518
4511,65.97201,124.009
4512,66.51754,134.4456
4513,67.83224,125.095
4514,68.7614,138.5499
4515,70.18641,134.395
4516,65.12676,118.875
4517,71.25743,136.5501
4518,67.75602,127.7343
4519,67.80062,120.5416
4520,66.71286,137.1043
4521,65.9331,119.1788
4522,70.75201,124.9258
4523,64.36337,100.9973
4524,66.51439,111.0706
4525,69.03382,143.6707
4526,65.454,124.8217
4527,68.82248,136.6368
4528,69.35365,136.1504
4529,68.4663,126.8492
4530,69.50765,133.1992
4531,67.68823,138.961
4532,69.41031,136.4148
4533,69.67469,118.0784
4534,68.04007,149.4074
4535,65.16827,124.2854
4536,66.15991,131.0075
4537,65.87678,122.0955
4538,66.73303,125.1468
4539,66.77722,107.7781
4540,67.93868,131.2999
4541,67.48863,128.1304
4542,70.19163,111.1449
4543,66.40732,111.0917
4544,68.05629,115.4242
4545,65.52001,132.1594
4546,65.64331,121.3271
4547,65.63637,136.2254
4548,67.70932,115.7406
4549,67.49917,133.5066
4550,66.29127,127.8453
4551,69.74138,142.3054
4552,63.45437,106.2611
4553,69.46406,134.3778
4554,68.05326,120.6881
4555,67.07399,139.5754
4556,65.59536,124.4232
4557,70.01907,122.7936
4558,67.13432,122.1132
4559,69.95471,139.8142
4560,68.31764,130.2584
4561,67.93284,111.6216
4562,68.37831,109.8238
4563,69.38169,138.2864
4564,67.83912,121.4831
4565,66.76314,120.3041
4566,69.13398,124.0916
4567,65.58554,119.738
4568,67.12002,132.4267
4569,68.20826,126.163
4570,69.83352,124.5901
4571,68.52243,129.9774
4572,66.61883,114.8356
4573,67.03413,123.505
4574,68.58395,124.7217
4575,68.48187,126.5771
4576,68.22285,143.9747
4577,70.11615,127.6471
4578,64.31068,119.6461
4579,68.91069,103.7011
4580,68.01192,140.6438
4581,68.44067,130.1721
4582,69.5139,132.2547
4583,69.20247,118.3357
4584,66.04611,107.3271
4585,66.015,134.3205
4586,69.00199,128.0736
4587,69.61754,143.0774
4588,69.41293,127.4879
4589,68.42341,117.5081
4590,68.59122,132.3095
4591,70.47426,126.1309
4592,70.13001,138.7704
4593,69.01521,128.4133
4594,70.97422,129.5877
4595,69.42301,116.2255
4596,66.84684,111.121
4597,68.37668,118.7218
4598,67.80923,131.6974
4599,66.4699,141.4318
4600,70.23437,138.4311
4601,70.16075,139.4051
4602,66.23907,109.824
4603,68.76154,125.4809
4604,64.64843,122.8828
4605,69.51686,150.847
4606,67.7263,128.1654
4607,68.53926,121.0356
4608,68.16448,137.2303
4609,70.16738,131.504
4610,66.92499,127.9481
4611,67.18215,127.5982
4612,65.35392,125.9641
4613,67.71159,128.942
4614,69.35197,123.6344
4615,67.54023,132.426
4616,68.43556,122.0015
4617,66.50187,130.4876
4618,68.9358,127.2358
4619,65.99168,119.7409
4620,69.45486,140.6464
4621,66.9045,137.6207
4622,67.63969,118.1787
4623,66.1437,128.4443
4624,67.59159,134.3476
4625,71.78019,166.3016
4626,69.44107,123.4122
4627,71.98935,142.7132
4628,70.15393,123.8781
4629,70.10971,126.9465
4630,66.68738,117.3343
4631,70.49701,137.1545
4632,65.43499,105.8885
